"ID","Id_Region","Id_Cap","Nome","Id_Director","Stato","DataCore","DataCap","ConfDataCore","ConfDataCap","MembriIni","appT2","appT3","appT4","appR","MemLancio","MemLancioRes"
"333","29","1","BNI - NEAPOLIS","32","CAPITOLO","2018-11","2019-01","1","1","26","n","n","n","a","38","38"
"334","29","2","BNI - ANGIOINO","129","CAPITOLO","2019-01","2019-12","1","1","0","n","n","n","a","26","26"
"335","29","3","BNI - VIRGILIANO","128","CAPITOLO","2019-04","2019-12","1","1","0","n","n","n","a","25","25"
"336","29","4","BNI - I NORMANNI","130","CORE GROUP","2018-11",,"1","0","3","n","n","n","a","0","0"
"337","6","17","BNI - TORINO","6","CAPITOLO","2009-01","2009-03","1","1","55","a","n","n","a","0","0"
"339","1","13","BNI - CAMPI BISENZIO","2","CORE GROUP","2019-12","2020-10","1","0","0","a","n","n","a","0","0"
"340","1","14","BNI - CASTIGLION FIORENTINO","2","PROGETTO","2020-01","2021-01","0","0","0","a","n","n","a","0","0"
"341","1","15","BNI - SANSEPOLCRO","2","PROGETTO","2021-01","2021-01","0","0","0","a","n","n","a","0","0"
"343","1","17","BNI - DE MEDICI","2","PROGETTO","2020-03","2020-11","0","0","0","a","n","n","a","0","0"
"344","1","16","BNI - VALDARNO","1","PROGETTO","2020-02","2020-11","0","0","0","a","n","n","a","0","0"
"345","23","11","BNI - LA PERLA VERDE","79","CORE GROUP","2019-05",,"1","0","0","a","n","n","a","0","0"
"346","23","12","BNI - LEONIDA","84","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"347","23","13","BNI - PERCOCCA","85","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"348","23","14","BNI - BETTER LIVING","79","CORE GROUP","2019-12",,"1","0","0","n","n","n","a","0","0"
"349","23","15","BNI - LA CARICA DEI 102","82","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"350","12","8","BNI - BARBAROSSA","89","CHIUSO","2019-12","2020-06","1","0","0","n","n","n","a","0","0"
"351","12","9","BNI - SANTA LUCIA","90","CORE GROUP","2020-01","2020-06","1","0","0","a","n","n","a","0","0"
"352","22","13","BNI - RENO","99","CORE GROUP","2020-01","2020-09","1","0","0","a","n","n","r","0","0"
"353","22","14","BNI - BUDRIUM","97","CORE GROUP","2020-01","2020-09","1","0","0","a","n","n","r","0","0"
"354","13","11","BNI - LORENZO LOTTO","117","CORE GROUP",,,"0","0","0","a","a","n","a","0","0"
"355","4","9","BNI - VISCONTEO","127","CHIUSO","2019-12","2020-12","1","0","12","n","n","n","a","0","0"
